timestamp,sender,receiver,subject,attachment
2025-03-02 01:30:00,eve,eve,urgent,budget.xlsx
2025-03-01 18:42:00,bob,alice,budget,notes.txt
2025-03-03 04:12:00,mike,frank,design,none
2025-03-02 16:36:00,grace,nancy,Q1 plan,agenda.docx
2025-03-02 07:42:00,henry,david,meeting,none
2025-03-01 17:08:00,henry,mike,budget,agenda.docx
2025-03-01 11:20:00,kate,irene,urgent,budget.xlsx
2025-03-02 21:29:00,nancy,charlie,budget,agenda.docx
2025-03-02 14:49:00,mike,grace,design,agenda.docx
2025-03-02 18:01:00,leo,charlie,meeting,notes.txt
2025-03-01 13:11:00,eve,kate,Q1 plan,none
2025-03-02 09:01:00,alice,jack,design,agenda.docx
2025-03-01 13:57:00,nancy,frank,meeting,notes.txt
2025-03-03 01:53:00,kate,henry,Q1 plan,agenda.docx
2025-03-01 11:37:00,charlie,mike,Q1 plan,notes.txt
2025-03-02 02:01:00,charlie,david,urgent,notes.txt
2025-03-02 03:36:00,kate,david,urgent,notes.txt
2025-03-01 18:56:00,kate,mike,budget,notes.txt
2025-03-02 05:57:00,nancy,leo,budget,agenda.docx
2025-03-02 10:25:00,mike,mike,urgent,agenda.docx
2025-03-03 02:31:00,eve,david,Q1 plan,none
2025-03-02 19:41:00,charlie,grace,design,budget.xlsx
2025-03-01 21:13:00,david,jack,budget,notes.txt
2025-03-01 22:27:00,irene,grace,Q1 plan,budget.xlsx
2025-03-02 22:43:00,nancy,kate,Q1 plan,none
2025-03-01 23:30:00,frank,nancy,budget,none
2025-03-01 13:07:00,frank,kate,design,none
2025-03-02 13:18:00,nancy,charlie,budget,budget.xlsx
2025-03-02 20:04:00,alice,irene,Q1 plan,agenda.docx
2025-03-02 21:26:00,eve,kate,meeting,budget.xlsx
2025-03-02 15:47:00,irene,charlie,meeting,notes.txt
2025-03-03 08:21:00,grace,kate,design,notes.txt
2025-03-02 04:55:00,alice,mike,Q1 plan,agenda.docx
2025-03-01 12:55:00,nancy,nancy,design,notes.txt
2025-03-03 05:40:00,grace,bob,meeting,notes.txt
2025-03-02 09:18:00,eve,nancy,budget,budget.xlsx
2025-03-03 08:20:00,kate,nancy,urgent,agenda.docx
2025-03-03 04:45:00,henry,mike,urgent,none
2025-03-01 08:04:00,bob,alice,urgent,budget.xlsx
2025-03-02 00:09:00,alice,bob,Q1 plan,agenda.docx
2025-03-01 11:06:00,henry,charlie,budget,budget.xlsx
2025-03-02 23:36:00,grace,charlie,budget,budget.xlsx
2025-03-01 10:06:00,nancy,david,urgent,notes.txt
2025-03-02 09:50:00,david,grace,budget,agenda.docx
2025-03-01 11:02:00,kate,mike,meeting,agenda.docx
2025-03-02 15:26:00,mike,mike,budget,agenda.docx
2025-03-01 13:35:00,alice,nancy,meeting,notes.txt
2025-03-02 22:11:00,nancy,bob,Q1 plan,notes.txt
2025-03-02 05:28:00,kate,grace,budget,none
2025-03-01 19:08:00,eve,jack,urgent,agenda.docx
2025-03-01 20:40:00,mike,henry,design,agenda.docx
2025-03-02 21:59:00,charlie,eve,meeting,none
2025-03-02 03:37:00,henry,bob,Q1 plan,notes.txt
2025-03-02 22:00:00,nancy,henry,design,notes.txt
2025-03-02 16:14:00,charlie,henry,urgent,none
2025-03-01 18:16:00,leo,jack,urgent,budget.xlsx
2025-03-01 12:19:00,alice,jack,Q1 plan,agenda.docx
2025-03-02 01:37:00,nancy,henry,design,none
2025-03-03 00:56:00,irene,frank,design,agenda.docx
2025-03-02 20:21:00,bob,henry,meeting,agenda.docx
2025-03-02 23:33:00,grace,david,budget,notes.txt
2025-03-02 20:26:00,henry,grace,budget,none
2025-03-01 17:01:00,david,frank,design,notes.txt
2025-03-03 08:09:00,david,irene,budget,budget.xlsx
2025-03-02 16:26:00,alice,eve,Q1 plan,none
2025-03-03 08:10:00,charlie,grace,Q1 plan,none
2025-03-03 05:01:00,alice,mike,urgent,agenda.docx
2025-03-02 15:16:00,irene,jack,Q1 plan,budget.xlsx
2025-03-02 23:29:00,eve,david,budget,budget.xlsx
2025-03-02 07:03:00,david,jack,meeting,none
2025-03-02 15:13:00,alice,frank,design,none
2025-03-03 09:37:00,mike,henry,budget,budget.xlsx
2025-03-01 17:09:00,irene,frank,design,none
2025-03-02 10:58:00,nancy,alice,design,none
2025-03-02 11:56:00,grace,mike,Q1 plan,none
2025-03-02 00:00:00,jack,kate,budget,budget.xlsx
2025-03-02 10:51:00,charlie,irene,budget,agenda.docx
2025-03-02 21:05:00,leo,mike,Q1 plan,agenda.docx
2025-03-01 14:34:00,kate,nancy,design,notes.txt
2025-03-01 14:43:00,alice,nancy,urgent,agenda.docx
2025-03-01 12:13:00,david,henry,Q1 plan,notes.txt
2025-03-02 20:56:00,kate,henry,Q1 plan,none
2025-03-02 21:00:00,nancy,irene,urgent,none
2025-03-01 09:03:00,frank,eve,urgent,budget.xlsx
2025-03-02 12:10:00,bob,frank,Q1 plan,agenda.docx
2025-03-01 21:12:00,kate,jack,urgent,none
2025-03-03 02:23:00,charlie,henry,urgent,none
2025-03-01 23:39:00,irene,jack,design,notes.txt
2025-03-02 06:06:00,jack,frank,urgent,none
2025-03-02 03:11:00,jack,david,meeting,notes.txt
2025-03-02 11:11:00,frank,bob,Q1 plan,agenda.docx
2025-03-01 17:59:00,grace,charlie,Q1 plan,none
2025-03-02 09:58:00,alice,irene,urgent,agenda.docx
2025-03-02 21:20:00,david,grace,design,agenda.docx
2025-03-03 07:50:00,irene,alice,budget,none
2025-03-02 19:21:00,charlie,david,urgent,notes.txt
2025-03-02 08:40:00,nancy,david,design,budget.xlsx
2025-03-01 21:06:00,bob,kate,Q1 plan,notes.txt
