timestamp,src_ip,dst_ip,port,protocol,bytes
2025-03-02 08:04:00,10.0.0.16,185.222.100.8,3389,UDP,571051
2025-03-01 15:54:00,10.0.1.30,10.0.1.20,53,UDP,700589
2025-03-01 23:09:00,10.0.0.11,91.203.5.21,80,TCP,432733
2025-03-02 18:54:00,10.0.1.20,188.166.10.4,53,UDP,1047500
2025-03-02 04:17:00,10.0.1.20,188.166.10.4,443,TCP,1443728
2025-03-02 04:43:00,10.0.1.40,142.250.74.14,443,UDP,1422475
2025-03-01 23:46:00,10.0.1.40,45.33.12.8,3389,UDP,1390103
2025-03-02 00:11:00,10.0.1.20,10.0.1.20,22,TCP,681959
2025-03-02 03:55:00,10.0.1.50,10.0.1.10,445,TCP,442057
2025-03-03 02:50:00,10.0.0.15,142.250.74.14,445,UDP,1497983
2025-03-01 18:48:00,10.0.0.23,185.222.100.8,53,UDP,1356746
2025-03-01 11:21:00,10.0.1.20,45.33.12.8,445,UDP,318559
2025-03-01 17:32:00,10.0.0.11,10.0.1.10,80,TCP,197541
2025-03-02 05:52:00,10.0.0.20,185.222.100.8,445,TCP,1012085
2025-03-01 18:19:00,10.0.0.18,10.0.1.50,22,TCP,782739
2025-03-02 09:25:00,10.0.1.20,185.222.100.8,80,UDP,237257
2025-03-01 19:34:00,10.0.0.18,10.0.1.20,53,TCP,915649
2025-03-03 01:41:00,10.0.0.13,103.25.56.10,80,TCP,182318
2025-03-02 17:35:00,10.0.0.15,10.0.1.40,53,TCP,621252
2025-03-02 13:06:00,10.0.0.19,103.25.56.10,443,TCP,936988
2025-03-02 10:24:00,10.0.1.50,10.0.1.10,22,TCP,382974
2025-03-01 22:43:00,10.0.0.22,45.33.12.8,22,UDP,166707
2025-03-01 23:38:00,10.0.0.17,103.25.56.10,22,TCP,47512
2025-03-02 19:25:00,10.0.0.13,91.203.5.21,445,UDP,498326
2025-03-02 15:09:00,10.0.0.12,10.0.1.30,3389,TCP,521385
2025-03-02 05:15:00,10.0.0.23,142.250.74.14,3389,TCP,915087
2025-03-02 22:23:00,10.0.0.23,10.0.1.40,3389,TCP,1394253
2025-03-02 10:54:00,10.0.1.20,45.33.12.8,22,UDP,841054
2025-03-02 06:56:00,10.0.0.21,91.203.5.21,80,UDP,99820
2025-03-01 08:21:00,10.0.0.22,10.0.1.40,53,TCP,581207
2025-03-02 10:59:00,10.0.1.40,10.0.1.30,3389,UDP,215042
2025-03-03 09:12:00,10.0.1.30,185.222.100.8,80,UDP,276181
2025-03-03 09:15:00,10.0.0.22,10.0.1.40,53,TCP,1427979
2025-03-02 03:52:00,10.0.0.12,188.166.10.4,53,UDP,270351
2025-03-02 21:11:00,10.0.0.16,103.25.56.10,22,UDP,664472
2025-03-01 12:43:00,10.0.1.10,10.0.1.50,53,UDP,1415442
2025-03-02 17:06:00,10.0.0.21,142.250.74.14,445,UDP,926758
2025-03-01 11:09:00,10.0.1.20,142.250.74.14,80,TCP,1228397
2025-03-02 14:51:00,10.0.0.17,10.0.1.40,80,UDP,487219
2025-03-02 16:39:00,10.0.0.13,10.0.1.10,3389,TCP,1047857
2025-03-03 04:20:00,10.0.0.11,45.33.12.8,3389,TCP,1486643
2025-03-02 02:14:00,10.0.1.20,91.203.5.21,80,TCP,1274492
2025-03-01 10:44:00,10.0.0.12,142.250.74.14,3389,UDP,925057
2025-03-02 00:02:00,10.0.1.40,10.0.1.20,445,UDP,186922
2025-03-02 09:55:00,10.0.0.18,10.0.1.20,22,UDP,139727
2025-03-02 19:54:00,10.0.0.23,142.250.74.14,80,UDP,449661
2025-03-02 09:13:00,10.0.0.14,45.33.12.8,445,UDP,999582
2025-03-03 09:59:00,10.0.1.20,45.33.12.8,53,TCP,315150
2025-03-03 01:14:00,10.0.0.23,185.222.100.8,445,TCP,800780
2025-03-02 15:37:00,10.0.0.20,45.33.12.8,3389,UDP,525810
2025-03-02 23:48:00,10.0.1.30,10.0.1.50,80,UDP,1444620
2025-03-01 23:56:00,10.0.0.12,91.203.5.21,80,TCP,307292
2025-03-02 03:02:00,10.0.0.22,10.0.1.20,3389,TCP,224999
2025-03-02 16:04:00,10.0.0.10,10.0.1.10,445,UDP,45657
2025-03-03 09:35:00,10.0.1.20,10.0.1.20,445,TCP,1182042
2025-03-02 15:15:00,10.0.0.14,91.203.5.21,22,TCP,1027520
2025-03-02 06:32:00,10.0.0.10,10.0.1.20,443,TCP,122006
2025-03-01 20:04:00,10.0.0.16,10.0.1.40,3389,UDP,863084
2025-03-02 21:09:00,10.0.0.12,188.166.10.4,80,UDP,1061622
2025-03-02 02:41:00,10.0.1.30,103.25.56.10,445,TCP,835949
2025-03-02 01:58:00,10.0.1.10,10.0.1.50,3389,TCP,1279867
2025-03-03 07:34:00,10.0.0.18,10.0.1.40,443,UDP,537971
2025-03-02 17:03:00,10.0.0.10,185.222.100.8,53,TCP,1405282
2025-03-03 01:39:00,10.0.0.21,10.0.1.30,80,UDP,1039879
2025-03-01 10:11:00,10.0.1.20,10.0.1.20,22,TCP,978641
2025-03-02 09:27:00,10.0.0.14,10.0.1.10,443,UDP,1134788
2025-03-02 19:14:00,10.0.0.14,10.0.1.20,80,UDP,1369699
2025-03-01 08:43:00,10.0.0.14,10.0.1.30,443,UDP,807814
2025-03-02 10:36:00,10.0.0.21,91.203.5.21,443,TCP,4699
2025-03-02 01:06:00,10.0.0.10,188.166.10.4,3389,UDP,1153523
2025-03-02 09:00:00,10.0.0.17,103.25.56.10,53,UDP,115571
2025-03-03 01:46:00,10.0.0.12,103.25.56.10,445,UDP,643777
2025-03-03 03:09:00,10.0.0.22,103.25.56.10,445,TCP,609647
2025-03-02 22:14:00,10.0.0.15,10.0.1.10,22,TCP,1314367
2025-03-02 10:31:00,10.0.0.13,103.25.56.10,443,UDP,764521
2025-03-01 15:44:00,10.0.0.15,142.250.74.14,22,UDP,476886
2025-03-02 03:03:00,10.0.0.11,10.0.1.10,443,TCP,1422258
2025-03-02 21:31:00,10.0.1.40,103.25.56.10,53,TCP,958509
2025-03-01 10:08:00,10.0.0.13,10.0.1.40,445,UDP,1376929
2025-03-02 15:49:00,10.0.1.20,10.0.1.10,443,UDP,1275687
2025-03-03 02:23:00,10.0.0.20,10.0.1.10,443,TCP,1387583
2025-03-03 03:35:00,10.0.1.10,10.0.1.30,80,TCP,798841
2025-03-02 15:40:00,10.0.0.17,142.250.74.14,443,TCP,663315
2025-03-02 18:51:00,10.0.0.14,45.33.12.8,445,UDP,1012697
2025-03-03 07:45:00,10.0.1.10,45.33.12.8,443,TCP,445959
2025-03-02 04:15:00,10.0.0.23,142.250.74.14,3389,UDP,1428077
2025-03-02 10:40:00,10.0.1.20,10.0.1.50,80,TCP,704913
2025-03-03 00:47:00,10.0.0.12,45.33.12.8,443,TCP,473014
2025-03-02 18:11:00,10.0.0.16,142.250.74.14,445,UDP,342252
2025-03-01 18:46:00,10.0.0.13,142.250.74.14,445,UDP,959877
2025-03-03 05:02:00,10.0.0.22,103.25.56.10,3389,TCP,674514
2025-03-03 04:29:00,10.0.0.21,10.0.1.30,443,TCP,697279
2025-03-01 09:44:00,10.0.0.12,142.250.74.14,80,UDP,1192213
2025-03-02 11:44:00,10.0.0.21,45.33.12.8,22,UDP,396483
2025-03-01 16:11:00,10.0.0.20,10.0.1.30,443,UDP,1048343
2025-03-02 02:32:00,10.0.0.10,185.222.100.8,22,UDP,1204620
2025-03-01 23:10:00,10.0.1.30,10.0.1.10,22,TCP,906423
2025-03-01 23:58:00,10.0.0.16,103.25.56.10,443,TCP,1454651
2025-03-01 10:54:00,10.0.0.11,10.0.1.30,445,TCP,775969
2025-03-02 16:00:00,10.0.1.20,91.203.5.21,80,TCP,41426
2025-03-01 14:56:00,10.0.1.20,103.25.56.10,3389,TCP,69392
2025-03-01 08:13:00,10.0.0.18,10.0.1.50,443,TCP,950422
2025-03-01 08:54:00,10.0.0.11,185.222.100.8,80,TCP,234138
2025-03-01 12:24:00,10.0.0.22,45.33.12.8,22,TCP,773181
2025-03-02 13:14:00,10.0.0.22,142.250.74.14,53,TCP,1191020
2025-03-01 14:40:00,10.0.0.21,45.33.12.8,443,TCP,1371559
2025-03-02 00:27:00,10.0.0.20,142.250.74.14,22,TCP,1151795
2025-03-02 16:37:00,10.0.0.23,91.203.5.21,22,UDP,670041
2025-03-02 17:48:00,10.0.1.50,91.203.5.21,443,UDP,1116099
2025-03-03 09:30:00,10.0.0.18,45.33.12.8,3389,TCP,152566
2025-03-01 10:08:00,10.0.0.19,103.25.56.10,53,TCP,97796
2025-03-02 06:24:00,10.0.0.22,188.166.10.4,22,TCP,868082
2025-03-01 08:03:00,10.0.0.20,10.0.1.10,443,UDP,388662
2025-03-02 16:29:00,10.0.1.20,103.25.56.10,3389,TCP,356173
2025-03-03 03:23:00,10.0.0.15,45.33.12.8,443,TCP,742884
2025-03-01 13:05:00,10.0.0.21,91.203.5.21,80,TCP,1258443
2025-03-03 03:50:00,10.0.0.19,91.203.5.21,445,TCP,491275
2025-03-01 14:41:00,10.0.0.16,91.203.5.21,80,TCP,326135
2025-03-02 05:46:00,10.0.0.18,103.25.56.10,443,TCP,977866
2025-03-02 22:12:00,10.0.0.22,188.166.10.4,22,UDP,29211
2025-03-02 21:11:00,10.0.1.40,10.0.1.20,22,TCP,863766
2025-03-02 10:50:00,10.0.0.17,91.203.5.21,53,TCP,968793
2025-03-01 12:54:00,10.0.0.18,10.0.1.30,445,UDP,206735
2025-03-02 01:28:00,10.0.0.19,91.203.5.21,3389,TCP,501978
2025-03-02 02:11:00,10.0.0.10,10.0.1.30,80,UDP,605551
2025-03-02 16:07:00,10.0.0.14,10.0.1.40,80,TCP,560215
2025-03-01 08:01:00,10.0.0.12,10.0.1.50,22,TCP,950857
2025-03-02 21:03:00,10.0.0.16,45.33.12.8,80,TCP,72354
2025-03-02 12:01:00,10.0.1.10,10.0.1.20,22,TCP,666213
2025-03-01 08:14:00,10.0.0.23,10.0.1.50,80,TCP,180988
2025-03-01 15:29:00,10.0.1.40,10.0.1.40,3389,UDP,740716
2025-03-03 03:52:00,10.0.1.30,10.0.1.50,22,UDP,608454
2025-03-01 13:00:00,10.0.0.19,142.250.74.14,22,TCP,411147
2025-03-03 00:15:00,10.0.0.22,10.0.1.10,53,TCP,1281557
2025-03-03 03:11:00,10.0.0.20,142.250.74.14,22,UDP,1462294
2025-03-01 23:53:00,10.0.1.40,10.0.1.40,445,TCP,1040292
2025-03-03 02:07:00,10.0.0.10,10.0.1.20,80,TCP,872510
2025-03-02 16:25:00,10.0.0.12,188.166.10.4,80,TCP,649273
2025-03-02 04:29:00,10.0.1.20,10.0.1.50,53,TCP,307593
2025-03-01 11:54:00,10.0.0.17,10.0.1.30,445,UDP,222638
2025-03-02 05:48:00,10.0.0.17,10.0.1.20,3389,TCP,1454265
2025-03-02 02:21:00,10.0.1.50,10.0.1.30,22,TCP,979762
2025-03-01 09:30:00,10.0.0.20,10.0.1.30,445,UDP,1372398
2025-03-02 19:00:00,10.0.0.12,142.250.74.14,53,UDP,472785
2025-03-01 21:01:00,10.0.0.18,10.0.1.10,80,TCP,1076593
2025-03-03 01:21:00,10.0.0.15,10.0.1.20,80,TCP,1156513
2025-03-01 16:26:00,10.0.0.19,185.222.100.8,3389,UDP,1416110
2025-03-02 18:11:00,10.0.0.20,142.250.74.14,53,UDP,133899
2025-03-02 14:22:00,10.0.0.18,10.0.1.40,445,UDP,936582
2025-03-02 15:53:00,10.0.0.19,103.25.56.10,3389,UDP,521441
2025-03-02 08:39:00,10.0.0.14,103.25.56.10,22,TCP,1164022
2025-03-01 19:10:00,10.0.0.11,45.33.12.8,22,TCP,613697
2025-03-01 12:13:00,10.0.0.22,142.250.74.14,80,UDP,1437973
2025-03-03 08:07:00,10.0.0.18,45.33.12.8,53,UDP,891853
2025-03-02 03:40:00,10.0.0.22,10.0.1.40,443,UDP,1117213
2025-03-02 00:03:00,10.0.1.40,10.0.1.30,445,UDP,1311137
2025-03-02 03:35:00,10.0.0.12,10.0.1.10,80,TCP,844863
2025-03-01 11:11:00,10.0.0.15,45.33.12.8,3389,UDP,1121055
2025-03-03 02:58:00,10.0.0.20,10.0.1.20,53,TCP,591573
2025-03-02 04:48:00,10.0.0.17,103.25.56.10,443,UDP,894275
2025-03-02 18:45:00,10.0.0.12,142.250.74.14,445,UDP,1418301
2025-03-01 08:57:00,10.0.1.40,10.0.1.50,53,TCP,626929
2025-03-03 01:06:00,10.0.0.15,142.250.74.14,445,UDP,616738
2025-03-03 06:08:00,10.0.0.15,188.166.10.4,53,TCP,1164497
2025-03-01 16:08:00,10.0.0.17,142.250.74.14,445,TCP,742786
2025-03-03 03:47:00,10.0.0.17,10.0.1.20,80,TCP,343077
2025-03-02 14:50:00,10.0.0.13,10.0.1.10,3389,TCP,1221130
2025-03-02 01:48:00,10.0.0.21,188.166.10.4,22,UDP,626476
2025-03-02 08:51:00,10.0.0.14,185.222.100.8,443,TCP,401013
2025-03-02 09:10:00,10.0.0.23,91.203.5.21,443,UDP,484502
2025-03-02 22:00:00,10.0.0.12,10.0.1.30,443,TCP,316228
2025-03-02 18:51:00,10.0.0.15,10.0.1.20,53,UDP,30223
2025-03-02 08:55:00,10.0.0.20,10.0.1.10,443,TCP,685544
2025-03-02 09:58:00,10.0.1.20,103.25.56.10,53,TCP,167406
2025-03-01 10:31:00,10.0.0.21,10.0.1.30,443,TCP,1239846
2025-03-01 09:23:00,10.0.0.22,142.250.74.14,3389,UDP,1438971
2025-03-03 01:32:00,10.0.0.11,103.25.56.10,443,UDP,571460
2025-03-01 16:03:00,10.0.0.16,10.0.1.20,3389,TCP,432731
2025-03-03 02:30:00,10.0.0.21,10.0.1.10,3389,UDP,1371562
2025-03-03 05:54:00,10.0.1.10,142.250.74.14,22,TCP,1417408
2025-03-02 13:49:00,10.0.0.20,45.33.12.8,3389,TCP,218565
2025-03-02 06:31:00,10.0.0.14,45.33.12.8,445,UDP,1196503
2025-03-02 06:53:00,10.0.0.18,91.203.5.21,80,UDP,516035
2025-03-02 11:54:00,10.0.1.10,10.0.1.10,443,UDP,531210
2025-03-03 05:45:00,10.0.1.20,103.25.56.10,443,TCP,1463808
2025-03-02 06:19:00,10.0.1.50,142.250.74.14,3389,UDP,353883
2025-03-02 22:50:00,10.0.0.22,103.25.56.10,443,TCP,295364
2025-03-03 03:22:00,10.0.0.19,185.222.100.8,53,UDP,575960
2025-03-02 23:46:00,10.0.1.20,10.0.1.30,445,UDP,464102
2025-03-03 08:54:00,10.0.0.10,10.0.1.10,443,TCP,457368
2025-03-01 13:15:00,10.0.0.22,10.0.1.30,445,TCP,614002
2025-03-03 08:46:00,10.0.0.22,45.33.12.8,22,TCP,1356423
2025-03-01 22:49:00,10.0.0.23,91.203.5.21,3389,TCP,106876
2025-03-02 22:50:00,10.0.0.13,10.0.1.30,53,TCP,1120393
2025-03-01 18:24:00,10.0.0.10,10.0.1.10,53,TCP,1298578
2025-03-01 21:26:00,10.0.0.22,10.0.1.30,53,UDP,631733
2025-03-02 10:19:00,10.0.0.12,45.33.12.8,80,TCP,1073946
2025-03-02 18:24:00,10.0.0.10,10.0.1.10,445,TCP,1421342
2025-03-03 04:31:00,10.0.1.40,10.0.1.20,3389,TCP,636742
2025-03-01 19:07:00,10.0.0.15,103.25.56.10,3389,TCP,1117183
2025-03-02 03:50:00,10.0.1.10,142.250.74.14,443,UDP,1142006
2025-03-02 12:43:00,10.0.0.12,10.0.1.10,445,UDP,731932
2025-03-03 05:25:00,10.0.1.20,10.0.1.30,443,TCP,326560
2025-03-01 15:36:00,10.0.0.22,188.166.10.4,445,UDP,640239
2025-03-01 12:05:00,10.0.0.12,103.25.56.10,3389,TCP,119513
2025-03-01 17:59:00,10.0.1.10,10.0.1.30,445,TCP,968166
2025-03-02 18:04:00,10.0.1.20,10.0.1.30,22,UDP,648457
2025-03-03 02:17:00,10.0.0.17,45.33.12.8,22,TCP,439977
2025-03-03 03:30:00,10.0.0.17,10.0.1.40,80,TCP,1214942
2025-03-01 15:51:00,10.0.1.40,91.203.5.21,53,TCP,1260316
2025-03-02 14:00:00,10.0.0.15,185.222.100.8,3389,UDP,1379404
2025-03-03 00:07:00,10.0.0.21,142.250.74.14,80,TCP,1067488
2025-03-01 16:08:00,10.0.1.40,142.250.74.14,3389,TCP,952220
2025-03-01 09:45:00,10.0.0.15,10.0.1.50,53,UDP,281285
2025-03-01 10:06:00,10.0.0.10,91.203.5.21,445,TCP,753290
2025-03-01 16:04:00,10.0.0.23,10.0.1.20,80,TCP,1045617
2025-03-02 12:41:00,10.0.1.40,10.0.1.50,53,UDP,370184
2025-03-02 13:12:00,10.0.0.10,103.25.56.10,22,UDP,683369
2025-03-03 07:54:00,10.0.1.40,91.203.5.21,22,UDP,495802
2025-03-01 11:58:00,10.0.1.30,10.0.1.40,3389,UDP,743930
2025-03-02 14:32:00,10.0.0.12,188.166.10.4,22,TCP,307046
2025-03-01 10:20:00,10.0.1.50,10.0.1.50,3389,UDP,769590
2025-03-03 00:23:00,10.0.1.10,10.0.1.40,3389,TCP,1212916
2025-03-03 05:06:00,10.0.0.22,10.0.1.50,445,TCP,236319
2025-03-02 11:38:00,10.0.0.19,10.0.1.10,443,UDP,556912
2025-03-01 20:54:00,10.0.1.10,103.25.56.10,53,TCP,859693
2025-03-03 03:31:00,10.0.1.10,45.33.12.8,445,UDP,478234
2025-03-02 00:20:00,10.0.1.50,10.0.1.50,3389,TCP,965669
2025-03-01 18:24:00,10.0.0.22,185.222.100.8,22,TCP,586244
2025-03-02 22:14:00,10.0.0.11,10.0.1.50,53,TCP,733776
2025-03-02 06:07:00,10.0.0.13,185.222.100.8,22,UDP,29016
2025-03-01 21:08:00,10.0.0.15,45.33.12.8,443,TCP,578735
2025-03-02 12:43:00,10.0.1.50,142.250.74.14,22,TCP,63784
2025-03-02 14:58:00,10.0.1.30,185.222.100.8,80,UDP,246879
2025-03-02 00:30:00,10.0.0.13,91.203.5.21,22,UDP,793906
2025-03-03 08:30:00,10.0.0.21,103.25.56.10,3389,TCP,972815
2025-03-03 03:14:00,10.0.0.17,10.0.1.10,443,TCP,1374177
2025-03-02 16:27:00,10.0.0.20,10.0.1.30,445,UDP,410197
2025-03-03 09:38:00,10.0.0.16,142.250.74.14,443,UDP,53469
2025-03-02 03:59:00,10.0.0.18,45.33.12.8,22,UDP,886639
2025-03-03 06:04:00,10.0.0.12,45.33.12.8,53,TCP,36491
2025-03-01 15:52:00,10.0.1.30,103.25.56.10,3389,TCP,880757
2025-03-03 02:24:00,10.0.0.11,10.0.1.20,80,UDP,1239590
2025-03-02 22:54:00,10.0.0.10,91.203.5.21,443,UDP,333388
2025-03-02 20:17:00,10.0.1.10,10.0.1.20,22,TCP,843466
